title,ISBN,author,description,link
Крепость,978-1-913138-69-1,Форд Р.,"Нагрянувший зомби-апокалипсис становится жестоким испытанием для неподготовленного человечества. Джейк, человек с мрачным прошлым, готов пойти на любые жертвы ради собственной семьи. В этом он схож с престарелым байкером Кельвином, который во что бы то ни стало стремится исполнить волю покойной жены. Заключенные тюрьмы нового поколения ""Тартар"" верят, что впереди их ждет лучшая жизнь на останках рухнувшей цивилизации, - впрочем, у Паука, члена банды ""Трех пуль"", свое мнение на этот счет. Пути выживших пересекаются в средоточии развернувшегося на территории тюрьмы ада, и каждому из героев предстоит понять, что в новом мире есть вещи пострашнее смерти.",https://book24.ru/product/krepost-6491836/
Чаровница. Исповедь ведьмы,978-5-907342-03-3,Владимиров А.,"Неведомый убийца пытается посеять в городе пандемию страха. Все попытки полицейских поймать его обречены на провал. Кто он? Не марионетка ли неведомых злобных существ из параллельных пространств? И не толкнуло ли его на эти страшные зверства неуемное желание приподнять завесу между нашими мирами? Так не лучше ли человеку остановиться перед стеной, ограждающей его от страшного Познания, бежать от него прочь и вернуться к Евангельским Заповедям? Захватывающий сюжет романа, его мистичность и одновременно реалистичность, а также глубокий философский подтекст обрекают произведение на то, чтобы стать бестселлером. Это лучшее продолжение традиций Гоголя и Булгакова в современной литературе.",https://book24.ru/product/charovnitsa-ispoved-vedmy-6496164/
Идеальное создание,978-5-4483-6065-7,Кинг М.,"Лондон накрыла эпидемия неизвестной доселе смертельной болезни, жертвами которой становятся молодые девушки. И пока лучшие врачи бьются над поисками причины, главная героиня точно знает – ответ спрятан в ее прошлом.",https://book24.ru/product/idealnoe-sozdanie-6479749/
"Вселенная Олега Гладова, комплект из 4-х книг",978-5-370-05028-2,Гладов О.,"Триллер, Мистика, Детектив, Магический Реализм прячутся под четырьмя обложками. Герои путешествуют из книги в книгу, спасаются от врагов, влюбляются, ненавидят и - распутывают Главную Тайну Вселенной. В комплект входят четыре книги: ""Мужчина, которому можно"" - книга полная черного юмора, разгорающихся страстей и мистических совпадений. ""Любовь стратегического назначения"" - мистический триллер про страдающего амнезией человека, найденного в Заполярье. ""Гипно некро спам"" - неожиданный и темный роман о бездомном, обладающем даром исцелять, художнике, обожающем врать, и ребенке, демонстрирующем паранормальные способности из утробы матери. ""Смех again"" - многослойная история о редакции журнала Achtung!, сотрудники которого влипают в безумные истории ради тиражей и популярности.",https://book24.ru/product/vselennaya-olega-gladova-komplekt-iz-4-kh-knig-6485168/
Вход и выход. Антология мистики,978-5-905720-31-4,Абрамова Н. (ред.),"Сборник ""Вход и выход"" - это таинственные, исполненные сакрального ужаса, выходящие за границы обыденной реальности новеллы признанных мастеров американской и английской литературы, которые будут интересны не только любителям жанров хоррора и мистики, но и самому широкому кругу читателей. Атмосфера этих колдовских новелл как бы проникнута ""вторым зрением"", духовидением и размышлениями о путях познания таинственного и необъяснимого. Зачастую путь к тайному знанию смертельно опасен, ибо ведет в такие области, что одна лишь мысль о них заставляет человеческий разум содрогнуться, но преодоление ""великой бездны"" между миром сознания и миром материи неизменно сулит незабываемые впечатления.",https://book24.ru/product/vkhod-i-vykhod-antologiya-mistiki-6490649/
Зеркало,978-5-517-03643-8,Чернова Н.,"Тринадцатилетняя Аня Крамская занимается в балетном классе. У девочки все складывалось хорошо, пока на нее не обратило внимание... зеркало. С тех пор отражающая поверхность - или то, что обитает за ней - начинает диктовать девочке свою волю, калеча жизни окружающих ее людей.",https://book24.ru/product/zerkalo-6479987/
Шорох,978-5-517-03655-1,Чернова Н.,"Деревенский дом, где остановились подруги Римма и Ира, то насылает на девочек странные сны, то издает непонятные звуки. Летний отдых постепенно превращается в мистический кошмар - приходят странные письма к прежним жильцам, а по коридорам бродят привидения. Но у подруг, воспитанных на сериале ""Секретные материалы"", есть чутье на сверхъестественное и они обязательно разгадают секрет старого дома.",https://book24.ru/product/shorokh-6479919/
Книга заклятий,978-5-517-03645-2,Чернова Н.,"Летний отдых на даче обещал Марату и Ленке все, кроме... внезапного появления жутких чудовищ, экскурсий в параллельные миры и незапланированных перемещений в пространстве. Кто виноват в этих кошмарах - живущая в соседней деревне колдунья или сами дети, которые не могут правильно прочесть заклинания из древней магической книги?",https://book24.ru/product/kniga-zaklyatiy-6479988/
Медвежья кровь,978-5-517-06768-5,Синякова Елена Евгеньевна,"Я никогда не был человеком, даже если выглядел, как они. Моя Медвежья кровь делала меня хищником, умеющим ходить на двух ногах и способным говорить. Моя медвежья кровь делала меня лакомым куском для тех, кто знал о таких, как я, и гонялся за нами в попытках приручить и сделать покладистыми. Если видишь меня - не вздумай бежать! А если побежала - не молись о том, что умрешь быстро. Женщины - наш запрет. Наша жажда. Наша погибель. Запретный плод, который манит так, что устоять невозможно. Поэтому если я пришел на твой порог - тебе больше не уйти, не сбежать и не скрыться. Открывай дверь, и спрячь ружье, девочка. Оно тебе не поможет.",https://book24.ru/product/medvezhya-krov-6483609/
Безопасность непознанных городов,978-1-913138-68-4,Тейлор Л.,"Возраст, внешность и социальное положение любовников уже давно не имеют для Вэл никакого значения. Люди стали для нее объектами, способом хоть ненадолго спастись - сбежать от одиночества и самой себя. Потерявшись в череде случайных встреч и мимолетных романов, Вэл одержима идеей почти мифического Города - то ли рая, то ли ада, в котором возможны самые немыслимые наслаждения. Со своим крайне необычным спутником она отправляется на поиски этого загадочного места, в то время как старый знакомый Вэл, серийный убийца Артур Брин, наметил ее в качестве новой жертвы и уже напал на след. Их путь выложен телами, трепещущими в экстазе от удовольствия, боли и надежды на краткий миг забвения.",https://book24.ru/product/bezopasnost-nepoznannykh-gorodov-6483578/
Затмение,978-5-517-03642-1,Чернова Н.,"Настя - новичок в школе, где учится Сережа. Подружившись, ребята обнаруживают, что обладают способностью влиять на окружающих. Странные и опасные события следуют одно за другим и вскоре ребята понимают, что становятся игрушками могущественных сил...",https://book24.ru/product/zatmenie-6479902/
Ритуал,978-5-0053-5833-2,Роуз Р.,"Кто из нас несет свет, а в ком таится тьма? Как отзовется каждый поступок через тысячи лет? Вполне возможно, что наш путь кем-то предначертан, а мы лишь вольны выбрать направление – к добру или злу. В ваших руках не детектив – хотя сюжет захватывает и держит в напряжении до последней строки. Это не фэнтези – хотя такие живые герои вымышлены. И это не сентиментальная проза – хотя каждая строка пропитана чувствами. Да, это мистическая драма. Это роман о магии души.",https://book24.ru/product/ritual-6473069/
Лесные страсти,978-5-517-03647-6,Чернова Н.,"Андрей и Вероника приезжают в госте к своему дяде-леснику и, нарушив запрет, углубляются в лесную чащу, где с ними начинают происходить жуткие вещи. Современных детей не испугать ни страшилками, ни фильмами ужасов, но когда то, что ты читал в книгах и видел в кино, начинает происходить именно с тобой - нужны крепкие нервы и ясный рассудок, чтобы не сойти с ума...",https://book24.ru/product/lesnye-strasti-6479904/
Отпусти меня. Мистика-вампирский роман,978-5-0053-6103-5,Алкмена Т.,"Завтра должна была быть моя свадьба, но меня похитили. Теперь я знаю, что такое стокгольмский синдром, мои руки в крови и меня хотят убить. Я благодарна Рою, ведь если бы не он, то я бы не встретила Его. Меня нестерпимо тянет к нему, несмотря на то, что он вампир. *** Повествование от первого лица трех персонажей: девушки, похитителя и вампира.",https://book24.ru/product/otpusti-menya-mistika-vampirskiy-roman-6473011/
ВалеРи. Старые сказки,978-5-0050-3438-0,mara_nika_en,"Книга, состояшая из двух частей. Первая часть книги — более философская, хотя и фантастическая, опирающаяся на сюжеты сказок и легенд. В этой части сны переплетаются с реальностью. Вторая часть книги — экшен, в лучших традициях фантастики XX века. Но герои и первой и второй части одинаковы, а вот события, происходящие с ними, не линейны. Начало книги — это ее середина, конец истории стоит искать посередине книги, а вторая часть книги — это предыстория. Книга полна ассоциаций и иллюзий.",https://book24.ru/product/valeri-starye-skazki-6475040/
Опасное прикосновение,978-5-0053-4957-6,Солнечная Алина,"Витя жил в привычном ритме. Но в один момент все изменилось. Любопытство друга открыло для него мир призраков. Параллельно его дядя знакомится с Ларисой, которая жила в доме с неупокоенной душой. Их истории соединились в одну. Как уберечь близких от грядущей опасности? Как решится судьба героя? Ответы в захватывающем финале…",https://book24.ru/product/opasnoe-prikosnovenie-6470597/
Роковые руны. Сборник рассказов,978-5-00096-323-4,Джеймс М.,"Вашему вниманию предлагается издание ""Роковые руны. Сборник рассказов"".",https://book24.ru/product/rokovye-runy-sbornik-rasskazov-6467405/
Игра Polly,978-5-0051-7591-5,Флер А.,"После неудачных попыток родить ребенка в жизни Ethan и Megan появляется Polly – милая и веселая одиннадцатилетняя девочка, которая сразу становится папиной любимицей. Megan как будто предчувствует неладное, но муж убеждает: ей просто нужно время, чтобы привыкнуть к новой роли. Счастливые родители даже не догадываются, что за игру затеяла приемная дочь. Кто выйдет из нее победителем, а кто проигравшим? Увлекательная история Александра Флёра, в которой переплетается все: любовь, жизнь и… смерть.",https://book24.ru/product/igra-polly-6470416/
"Букет из мать-и-мачехи, или Сказка для взрослых",978-5-4496-1658-6,Тишинова А.,"Представитель Высших Сил на Земле готовит себе преемника, предлагает ему безграничную власть и почти вечную жизнь. Но его избранник больше озабочен расследованием своего прошлого. Ему предстоит непростой выбор… Арсен, ученик интерната для детей с отклонениями, влюбляется во временно оказавшуюся там учительницу… Кем является Анжела, выпускница мединститута, – живой девушкой или фантомом, подобранным Астарием для искушения Избранника?",https://book24.ru/product/buket-iz-mat-i-machekhi-ili-skazka-dlya-vzroslykh-6470513/
Дорога мертвеца,978-5-88390-011-1,Лансдейл Д.,"Вашему вниманию предлагается издание ""Дорога мертвеца"".",https://book24.ru/product/doroga-mertvetsa-6467386/
Тени. Охотники на ведьм,978-5-0051-6996-9,Килема К.,"Ведьмы в Петербурге осторожны, они маскируют сверхъестественную природу своих преступлений под обычные вещи. Охотники уже несколько месяцев не могут найти доказательства их вины. У Стаса есть план, как сдвинуть расследование с мертвой точки, но он молод и импульсивен, и остальные не хотят ввязываться с ним в опасную авантюру, поэтому Стас берет в напарники человека со стороны — чудаковатого, склонного к саморазрушению парня со странным именем Ева, о котором никто ничего толком не знает.",https://book24.ru/product/teni-okhotniki-na-vedm-6469565/
Гуттаперчевый клоун,978-5-907288-72-0,Авласенко Г.,"Геннадий Авлаесенко, популярный белорусский автор более 30 бестселлеров, представляет новый мистический роман.",https://book24.ru/product/guttaperchevyy-kloun-6467017/
Надвигается беда,978-5-0053-0626-5,Осадчий И.,"Добро пожаловать в Тэнебриз – живописный городок на острове Уайт, где каждый встретит вас искренней улыбкой. Идеальное место для ценителей уюта. Но что скрывается за столь приветливым фасадом? Обезумевшие призраки, таинственные исчезновения, древние проклятия… Извечная борьба добра со злом выходит на новый уровень. Юный писатель Джеймс и его друзья надеются разгадать тайны родного города. Лишь от них зависит судьба не только Тэнебриза, но и всего мира. Книга содержит нецензурную брань.",https://book24.ru/product/nadvigaetsya-beda-6466280/
Девушка напротив. Прятки: Романы,978-5-00096-150-6,Кетчам Д.,"Вашему вниманию предлагается издание ""Девушка напротив. Прятки. Романы"".",https://book24.ru/product/devushka-naprotiv-pryatki-romany-6467385/
Кэрри,978-5-17-082440-3,Кинг Стивен,"«‎Кэрри» — знаменитый и, пожалуй, самый знаковый роман Стивена Кинга после публикации которого автор «проснулся знаменитым». Героиня, Кэрри, никогда не знала ничего, кроме боли, издевательств одноклассников и унижений. Она страдала, терпела, пока у нее не открылся сверхъестественный дар: Кэрри обнаружила силу телекинеза. Роман «‎Кэрри» не раз становился основой кинофильмов как и многие книги Кинга. ""Кэрри"". Роман, после публикации которого Стивен Кинг проснулся знаменитым. История затравленной одноклассниками, забитой матерью девушки из маленького городка Касл-Рок. Девушки, в которой дремлет чудовищный по силе дар телекинеза. Роман ""Кэрри"" неоднократно экранизировалась. И вот теперь новая экранизация - ""Телекинез"" - с Хлоей Грейс Морец и Джулианной Мур в главных ролях!",https://book24.ru/product/kerri-190945/
Истории о Призрачном Замке. Тринадцать башен,978-5-0051-6957-0,Раттлер Дж.,"Глубоко в русской тайге стоит замок. Случайный путник пройдет мимо и не заметит ничего – ни высоких стен, ни зубчатых башен, ни тяжелых, окованных медью ворот. Этого замка нет. И все же он существует, а в нем живет самый загадочный человек в мире – Хранитель Призрачного Замка. Его имя – Гектор Хронвек. Цитадель Хранителя находится одновременно в трех мирах – и ни в одном из них. Что такое Призрачный Замок, кто его населяет и какие тайны скрывает его Хранитель – вы узнаете, открыв эту книгу.",https://book24.ru/product/istorii-o-prizrachnom-zamke-trinadtsat-bashen-6464928/
Дом со львами,978-5-0050-9951-8,Доктор С.В.,"Хотели бы вы ненадолго, до зимы, перебраться в старый особняк, в котором есть тайные ходы, огромная библиотека, прекрасные блюда на завтрак, обед и ужин и даже оранжерея? А если бы узнали, что больше не сможете вернуться домой? Главные герои — доктор и его помощница — оказываются заложниками этого уникального места, дни идут один за другим, но все становится интереснее, когда они находят зеленую книгу, обещающую вернуть их назад к привычной жизни.",https://book24.ru/product/dom-so-lvami-6466260/
11/22/63,978-5-17-089416-1,Кинг Стивен,"...Убийство президента Кеннеди стало самым трагическим событием американской истории ХХ века. Тайна его до сих пор не раскрыта. Но что, если случится чудо? Если появится возможность отправиться в прошлое и предотвратить катастрофу?  Это предстоит выяснить обычному учителю из маленького городка Джейку Эппингу, получившему доступ к временному порталу.  Его цель — спасти Кеннеди. Но какова будет цена спасения?",https://book24.ru/product/11-22-63-190247/
Дикие,978-5-6043606-0-6,Рори Пауэр,"Уже больше года школа-пансион для девочек на острове Ракстер находится под карантином. Из-за неизвестного вируса почти все учителя погибли, а тела Гетти и ее одноклассниц мутировали.   Отрезанные от мира девушки не покидают стен школы. Все, что им остается, — это ждать обещанного лекарства. Но когда лучшая подруга Гетти пропадает, она готова пожертвовать всем, лишь бы ее найти.",https://book24.ru/product/dikie-6629844/
Шепот мертвецов. Хранитель могил,978-5-17-148054-7,Коутс Дарси,"ОНА СЛЫШИТ ШЕПОТ МЕРТВЕЦОВ Спасаясь от бури и жестоких преследователей, Кира находит убежище в заброшенном доме кладбищенского сторожа, окруженном могильными плитами. На маленьком деревенском кладбище полно призраков, но первой Кира видит Эмму — трагически погибшую молодую женщину, которая умоляет помочь ей. Пытаясь найти хоть какие-то сведения о жизни Эммы, Кира узнает ужасные тайны прошлого. Опасность грозит и ей самой, ее будущее и прошлое окутано таким же плотным туманом, как и надгробия, которые она видит из окна своего нового дома. Кире придется предпринять немало усилий, чтобы узнать, кто же она на самом деле, — И ОСТАТЬСЯ В ЖИВЫХ.",https://book24.ru/product/shepot-mertvetsov-khranitel-mogil-6612582/
Галлант,978-5-04-168811-0,Шваб Виктория,"Оливия Приор живёт в школе для девочек-сирот. Она не может говорить, зато умеет видеть призраков. Всё, что осталось у неё от семьи — дневник матери и загадочное предостережение: держись подальше от Галланта.  Всё меняется, когда Оливия получает письмо от давно потерянного дяди, который зовёт племянницу домой. Кажется, её мечты сбылись… но когда Оливия прибывает в особняк Приоров, там её никто не ждёт. Дядя мёртв уже год. Кузен хочет, чтобы она ушла. А по коридорам особняка бродит призрак матери, и Оливия хочет знать, что убило её. Кто звал девочку домой. И почему мать не хотела, чтобы Оливия приезжала сюда, в родовое поместье Приоров, имя которому — Галлант…  Готическая повесть от автора международного супербестселлера «Незримая жизнь Адди Ларю». Для поклонников «Коралины» Нила Геймана и «Багрового пика» Гильермо дель Торо. Атмосферный бестселлер #1 New York Times. Отважная юная героиня, призраки и особняк, скрывающий страшные тайны за запертыми дверьми. Что прячется по ту сторону? Галлант ждёт вас!",https://book24.ru/product/gallant-6613052/
Зов Ктулху,978-5-17-094610-5,Лавкрафт Говард Филлипс,"При жизни этот писатель не опубликовал ни одной книги, после смерти став кумиром как массового читателя, так и искушенного эстета, и неиссякаемым источником вдохновения для кино- и игровой индустрии; его называли ""Эдгаром По ХХ века"", гениальным безумцем и адептом тайных знаний; его творчество уникально настолько, что потребовало выделения в отдельный поджанр; им восхищались Роберт Говард и Клайв Баркер, Хорхе Луис Борхес и Айрис Мёрдок. Один из самых влиятельных мифотворцев современности, человек, оказавший влияние не только на литературу, но и на массовую культуру в целом, создатель ""Некрономикона"" и ""Мифов Ктулху"" — Говард Филлипс Лавкрафт.",https://book24.ru/product/zov-ktulkhu-198669/
Жребий Салема,978-5-17-145402-9,Кинг Стивен,"От автора культовых бестселлеров «Кладбище домашних животных», «Оно» и «Сияние». Сам Кинг считает «Жребий Салема» своим любимым романом. Осенью 2022 года увидит свет новая, уже третья по счету, экранизация книги от продюсера Джеймса Вана («Пила», «Астрал» и «Заклятие»). Подарочное издание в коллекционном оформлении Андрея Фереза. Все началось с того, что в провинциальном американском городке стали пропадать люди — поодиночке и целыми семьями. Их не могли найти ни родственники, ни даже полиция. А когда надежда, казалось, исчезла навсегда, пропавшие вернулись, и городок содрогнулся от ужаса...",https://book24.ru/product/zhrebiy-salema-6149847/
Призраки дома Блэквуд,978-5-17-148055-4,Коутс Дарси,"– От автора бестселлеров USA Today! – Дарси Коутс — мастер жанра «история о домах с привидениями», автор десятка увлекательных книг на эту тематику. – Понравится фанатам культового бестселлера «Призрак дома на холме» и фильма «Страшные истории для рассказа в темноте». Мара всё детство провела в мире медумов, самозванцев и эффектных спиритических сеансов. В призраков Мара верить категорически отказывается — такого же мнения её парень.  Девушка смело переезжает в имеющий дурную славу особняк Блэквуд. Поговаривают, что в Блэквуде обитают призраки, по ночам стучат двери, а на стенах выступают кровавые следы. И неудивительно, ведь предыдущего владельца жестоко убили прямо в подвале. Но Мара не верит в глупые слухи. Девушка уверена, что духов не существует. Но жуткий и будто живой Блэквуд заставит её в этом усомниться. Можно ли прожить неделю в доме с привидениями? Мара — дочь медиумов. В ее детстве было так много спиритических сеансов, медиумов-жуликов и разговоров о присутствии призраков… Повзрослев, Мара поклялась, что в ее жизни никогда больше не будет места суевериям. Вместе со своим женихом Нилом она готовится начать новую жизнь в реальном мире, где любой факт требует подтверждения. Но прошлое не готово отпустить ее. Мара и Нил покупают Блэквуд — заброшенный дом на окраине города. Их предупредили о том, что там творится что-то странное — сами собой открываются двери, ночью слышен чей-то шепот, на стенах появляются кровавые отпечатки рук, а в подвале, где был убит первый владелец дома, стоит жуткий холод… Но Блэквуд вместе с большим участком стоил так дешево!.. Мара влюбилась в него с первого взгляда и решила пренебречь предупреждениями. Ведь призраков не существует… Правда?",https://book24.ru/product/prizraki-doma-blekvud-6597134/
Пост сдал,978-5-17-147901-5,Кинг Стивен,"Блестящее завершение трилогии, начатой романами ""Мистер Мерседес"" и ""Кто нашел, берет себе""! В больничной палате номер 217 пробудилось нечто ужасное. Нечто, скрывающееся внутри Брейди Хартсфилда, одержимого маньяка по прозвищу Мистер Мерседес. Хотя  он по-прежнему не в состоянии говорить и двигаться, его сознание бодрствует.  Но кто способен даже на мгновение предположить, что за потрясшей город серией таинственных смертей стоит  беспомощный теперь преступник? Разве что коп в отставке Билл Ходжес, которому дважды доводилось иметь дело с Мистером Мерседесом. Наступает момент, когда он понимает: Зло, таящееся в глубинах сознания этого монстра, приняло совершенно особую форму.  Как же остановить убийцу, вышедшего за грани возможного для обычного человека?..",https://book24.ru/product/post-sdal-6600832/
Зов ночной птицы: роман,978-5-389-21496-5,Маккаммон Роберт Р.,"Холодная весна 1699 года, североамериканская колония Каролина. Мировой судья Айзек Вудворд и его секретарь Мэтью Корбетт отправляются из столичного Чарльз-Тауна в городок Фаунт-Ройал, где происходит какая-то чертовщина: земля не родит, дома по ночам полыхают, а тут еще и два зверских убийства. Горожане обвиняют во всем молодую вдову Рейчел Ховарт и стремятся поскорее сжечь ведьму на костре, однако глава поселения Роберт Бидвелл желает, чтобы все было по закону. Для мирового судьи показания свидетелей звучат вполне убедительно, а вот его секретарь колеблется: точно ли девушка — ведьма и зачем в шкафах у горожан столько скелетов? И дьяволовы ли козни всему виной — или же дьявольски хитроумный план неведомого преступника?.. «„Зов ночной птицы“ — из тех уникальных произведений популярной литературы, что, ни на миг не жертвуя занимательностью, содержат массу пищи для ума. И теперь я жду не дождусь, когда и меня позовет ночная птица» (Стивен Кинг). Роман публикуется в новом переводе.",https://book24.ru/product/zov-nochnoy-ptitsy-roman-6623839/
Сияние,978-5-17-113271-2,Кинг Стивен,"…Проходят годы, десятилетия, но потрясающая история писателя Джека Торранса, его сынишки Дэнни, наделенного необычным даром, и поединка с темными силами, обитающими в роскошном отеле ""Оверлук"", по-прежнему завораживает и держит в неослабевающем напряжении читателей самого разного возраста…",https://book24.ru/product/siyanie-5912894/
Мистические истории. Любовь мертвой красавицы,978-5-389-13860-5,"Полидори Дж., Готье Т., Форчун М. и др.","Сборник классических мистических историй XIX – начала XX века посвящен теме вампиров – удивительных созданий, которые, шагнув два столетия назад из области легенд и преданий в мир художественной литературы, очень скоро стали постоянными персонажами беллетристики и театра, а затем кинематографа и компьютерных игр, сделались популярнейшими героями культурной мифологии модерна и постмодерна и предметом исследовательского интереса представителей различных научных дисциплин (от психоанализа до социальной антропологии). На страницах повестей и рассказов, включенных в книгу, предшественники, современники и наследники стокеровского графа Дракулы – опасно-привлекательные и обманчиво-дружелюбные, властные и неумолимо-жестокие – вновь и вновь устремляются на поиски своего странного бессмертия, ведомые кровавой жаждой, с отсветами вечности в неизменно голодных глазах…",https://book24.ru/product/misticheskie-istorii-lyubov-mertvoy-krasavitsy-5420040/
Скорбь Сатаны,978-5-17-118314-1,Корелли Мария,"Молодой писатель Джеффри Темпест, прозябающий в нищете и безвестности, продает душу Сатане и получает от Князя Тьмы все, о чем только мечтал… точнее, почти все. Теперь светское общество, ранее им пренебрегавшее, лежит у его ног. К его услугам несметное состояние, любовь прекрасной девушки, роскошь и удовольствия. Но много ли это значит, если утрачено главное, ради чего Джеффри жил, — его талант?..",https://book24.ru/product/skorb-satany-5465948/
Долгая Прогулка,978-5-17-094070-7,Кинг Стивен,"...Это была страшная игра — игра на выживание. Это была Долгая Прогулка. Прогулка со Смертью, ибо смерть ожидала каждого упавшего. Дорога к счастью — потому что победивший в игре получал все. На долгую прогулку вышли многие — но закончит ее только один. Остальные лягут мертвыми на дороге — потому что дорога к счастью для одного станет последней дорогой для многих.",https://book24.ru/product/dolgaya-progulka-179968/
Коралина,978-5-17-151179-1,Гейман Нил,"— Впервые в покете! Культовая повесть Нила Геймана! — Лауреат премий «Локус», «Хьюго», «Небьюла», премии Брэма Стокера и премии Британской ассоциации научной фантастики. — Повесть легла в основу мультфильма «Коралина в Стране Кошмаров». — «История, которой присущ изысканный ужас лучших сказок. Шедевр», — Терри Пратчетт. — «Самая великолепная, оригинальная, странная и страшная книга, которую я читала. И при этом — полная всего того, что любят дети», — Диана Уинн Джонс. Что делать, если ты переехала в новый дом, до школы еще целая неде- ля, на улице дождь и туман, а родители вечно заняты? Разумеется, ИССЛЕ- ДОВАТЬ! Так юная Коралина знакомится с весьма странными соседями и в высшей степени независимым черным котом, а потом обнаруживает запертую дверь, ведущую в… никуда? Как бы не так! За этой дверью — це- лый мир! Мир, в котором все точно так же — и совершенно по-другому. Мир, в котором тебя ждут вкусная еда и красивая одежда, но главное — другие мама и папа: точно такие же, но более внимательные и заботливые. Только кожа их тонка и бела, как бумага. Только пальцы их чересчур длин- ные и нервные, а вместо глаз у них — круглые пуговицы. Только слишком уж жутко от одной мысли остаться с ними навсегда…",https://book24.ru/product/koralina-6597515/
