title,ISBN,author,description,link
Гость внутри,978-5-227-09269-4,"Гравицкий А., Косенков В.","Девяностые годы прошлого века. Алексей Беляев возвращается из армии в родной Питер и понимает, что за два года совершенно выпал из жизни. Любимая девушка не дождалась. Друзья заняты своими делами, работы нет, с родителями взаимное недопонимание. Не сумев вписаться в новую жизнь, Алексей уходит из дома и решает плыть по течению. Но судьба играет с Беляевым злую шутку, подбрасывая ему новые и новые сюрпризы. Он проходит через криминальный мир Питера, погружается в оккультный мир, опускается на самое дно, ниже которого только девять кругов ада. А по пятам идет нечто еще более жуткое, чем сам ад.",https://book24.ru/product/gost-vnutri-6001914/
Заживо в темноте,978-5-04-113696-3,Омер Майк,"Продолжение триллера «ВНУТРИ УБИЙЦЫ», бестселлера New York Times, Washington Post и Amazon Charts.  Все серийные убийцы вырастают из маленьких ангелочков…  Он — убийца-экспериментатор.  Она — следователь-профайлер.  Они обязательно встретятся…  Профайлер… Криминальный психолог, буквально по паре незначительных деталей способный воссоздать облик и образ действий самого хитроумного преступника. Эти люди выглядят со стороны как волшебники, как супергерои. Тем более если профайлер — женщина…  Николь приходит в себя — и понимает, что находится в полной темноте, в небольшом замкнутом пространстве. Ее локти и колени упираются в шершавые доски. Почти нечем дышать. Все звуки раздаются глухо, словно под землей… Под землей?!  ОНА ПОХОРОНЕНА ЗАЖИВО.  Николь начинает кричать и биться в своем гробу. От ужаса перехватывает горло, она ничего не соображает, кроме одного — что выхода отсюда у нее нет. И не замечает, что к доскам над ней прикреплена маленькая инфракрасная видеокамера…  ИДЕТ ПРЯМАЯ ИНТЕРНЕТ-ТРАНСЛЯЦИЯ.  В это же время «гробовое» видео смотрят профайлер ФБР Зои Бентли и специальный агент Тейтум Грей. Рядом с изображением подпись — «Эксперимент № 1». Они понимают: объявился новый серийный маньяк-убийца — И ОБЯЗАТЕЛЬНО БУДЕТ ЭКСПЕРИМЕНТ № 2…",https://book24.ru/product/zazhivo-v-temnote-5857455/
Аватара,978-5-386-14594-1,Готье Т.,"Теофиль Готье — ярчайшая фигура беллетристики XIX века и родоначальник французского хоррора. Бунтарь, который одним из первых европейских писателей заглянул за пределы обыденного, навеки лишившись покоя... Что если молодой человек вот-вот умрет от любви к замужней даме? Рецепт спасения знает старый лекарь: с помощью тайных знаний он перенесет душу и разум юноши в тело мужа прекрасной графини. Но не потребуют ли слишком высокую цену индийские боги, к которым придется обратиться за помощью?",https://book24.ru/product/avatara-6531305/
История Лизи,978-5-17-138333-6,Кинг Стивен,"От создателя культовых романов «Сияние», «Зелёная миля» и «11/22/63» Стивен Кинг — один из самых популярных писателей в мире. Он написал свыше 60 романов, его книги переведены на 44 языка, изданы в 80 странах мира, а их совокупный тираж превышает 400 000 000 экземпляров. Стивен Кинг называет «Историю Лизи» одним из своих любимых романов. Летом 2021 года на сервисе Apple TV+ состоялась премьера одноимённого телесериала с Джулианной Мур и Клайвом Оуэном в главных ролях. Кошмар, всю жизнь преследовавший знаменитого писателя Скотта Лэндона… Кошмар, который достался в наследство ни о чем не подозревающей жене Лизи. Как погиб ее муж? Как он жил? Откуда он черпал идеи для своих романов, кажущихся уж слишком реалистичными? С какими силами он заключил тайный союз? Чтобы ответить на эти вопросы, Лизи предстоит совершить путешествие в самое сердце Тьмы…",https://book24.ru/product/istoriya-lizi-5993591/
Мизери,978-5-17-092564-3,Кинг Стивен,"Писатель Пол Шелдон, прославившийся серией любовно-приключенческих романов, чудом выживает в автокатастрофе. Вот только приходит он в сознание не в больнице, а в чужом доме, хозяйка которого немолодая одинокая медсестра Энни Уилкс. Именно она спасла его, вытащив из-под обломков и оказав первую помощь. Однако очень скоро он понимает, что Энни далеко не та, кем кажется. Она — давняя поклонница книг Пола и вырвала его из лап смерти с целями, бесконечно далекими от гуманности и милосердия...",https://book24.ru/product/mizeri-155837/
SOS,978-5-4438-0395-1,Метатрон,"Герой книги Метатрон путем телепатических контактов вступает в контакт с неземной цивилизацией Богов. Они утверждают, что человек был создан ими, и в доказательство дают подробные ответы на самые фундаментальные вопросы человечества: 1. Для чего живет человек? 2. Есть в человеке душа? 3. Почему и для чего такое разнообразие природы? 4. Почему мы не слышим инопланетян? 5. Почему Иисус скрывал свои возможности? 6. Есть ли жизнь после смерти? 7. Почему в нас заложены ресурсы настолько большие, что мы не можем их использовать?И это – лишь часть вопросов, на которые отвечает автор книги устами ее главного героя Метатрона – человека, пытающегося создать организацию, которая сможет придать России статус мирового духовного лидера. Его попытки встречают активный интерес в обществе и пристальное внимание со стороны спецслужб России и Запада.",https://book24.ru/product/sos-6404417/
Рассказы. Выпуск 9. Аромат птомаинов,978-5-0051-3382-3,"Кременцов И., Федоров А., Новиков В. и др.","В девятом выпуске «Рассказов» собраны мрачные истории, от которых исходит обманчивое тепло, словно притягательный свет электрической мухобойки. Это истории о странных и жутких существах, которые не могут пробиться к нам и потому манят следовать за ними, о людях и немыслимых ситуациях, в которые те попадают на потеху демонам. Выпуск в жанре хоррор и саспенс, приоткрывающий дверь в загробный мир. Прочувствуйте это. Аромат птомаинов. Уютный флер смерти. Темный момент осознания, что все — конец.",https://book24.ru/product/rasskazy-vypusk-9-aromat-ptomainov-6464916/
Зов Ктулху,978-5-04-168756-4,Лавкрафт Говард Филлипс,"Мистические истории на грани безумия, в которых сны переплетаются с явью, — о великом божестве Ктулху и его почитателях, таинственных культах и обрядах, древних книгах и городах — в сборнике рассказов мастера сверхъестественного ужаса Г. Ф. Лавкрафта.   Американский писатель Говард Филлипс Лавкрафт при жизни не опубликовал ни одной книги, печатаясь только в журналах. Признание пришло к нему спустя десятилетия после смерти. Лавкрафта называют основателем литературы «сверхъестественного ужаса», «литературным Коперником» и «Эдгаром По ХХ века». Фигура писателя окружена покровом домыслов, мифов и загадок.",https://book24.ru/product/zov-ktulkhu-6569174/
ФНАФ Серебряные глаза. Графический роман,978-5-04-107003-8,"Коутон Скотт, Брид-Райсли Кира","Графический роман основан на сюжете книги «Серебряные глаза»!  Это канон!  Автор — Скотт Коутон, именно он разработал игру ФНАФ и написал книги.  Полностью повторяет американское издание.  Эту книгу мы с вами ждали 3 года!   Для кого:  Любому, кого увлекает мир аниматроников.  Каждому фанату ФНАФ.   Тем, кто играл во ФНАФ.  Подходит для первого знакомства с миром аниматроников.  Тем, кто читал другие книги про Five Nights at Freddy's.    Тем, у кого есть «Файлы Фредди».  Тем, кто хочет узнать историю проклятой закусочной. Чарли, дочь владельца пиццерии ""У Фредди Фазбера"" и создателя аниматроников, после многих лет возвращается в родной городок. Встреча со старыми друзьями, веселые (а иногда и очень страшные) воспоминания, давние позабытые тайны…  Чарли с друзьями решают ещё разок сходить в заброшенную пиццерию и внутри встречают ночного сторожа. Но что там делать сторожу?! Ребята решают попросить его о помощи, ведь он наверняка знает об этом помещении всё. Однако они и подумать не могли, что из пиццерии вернутся не все…",https://book24.ru/product/fnaf-serebryanye-glaza-graficheskiy-roman-1-6635354/
Мистические истории: Лицом к лицу с призраками: рассказы,978-5-389-21506-1,"Брилова Л.Ю, Бродоцкая А.М., Куренная М.В. и др.","Включенные в сборник произведения английских, ирландских, американских писателей XIX–XX веков объединяет, при всем их разнообразии, тема сверхъестественного, то и дело проникающего сквозь тонкий покров обыденной реальности в человеческую жизнь. На страницах этой книги читатель столкнется с необъяснимыми и зловещими событиями, которые разыгрались в пустующем доме в самом центре Лондона, и с призрачной мумией-вампиром, тревожащей обитателей поместья на востоке Англии; прочтет анекдот о деревенском кладбище, за одну ночь переместившемся на другой берег реки, и истории о пропавшей комнате и «заколдованном» гостиничном номере; окажется лицом к лицу с покойным шведским графом, совершившим некогда «черное паломничество» в места, где, по преданию, родился Антихрист, и с темными, смертельно опасными загадками из кельтского прошлого полуострова Корнуолл... Среди авторов, развивающих эти мистические сюжеты, — классики викторианской прозы Эдвард Бульвер-Литтон, Джозеф Шеридан Ле Фаню, Монтегю Родс Джеймс, а также знаменитый драматург Бернард Шоу.",https://book24.ru/product/misticheskie-istorii-litsom-k-litsu-s-prizrakami-rasskazy-6623844/
